id;cat_name;count
781;Реестр субъектов малого и среднего предпринимательства – получателей поддержки;189514
841;Таксофоны Московской городской телефонной сети;1987
842;Стационарные общественные туалеты;329
861;Wi-Fi в парках;969
883;Поля для гольфа;4
884;Площадки для пляжных видов спорта;83
885;Поля регбийные;12
886;Поля футбольные;110
887;Прокаты спортивного инвентаря;53
888;Стрелковые тиры;42
889;Стрельбища;4
890;Бассейны плавательные крытые;452
891;Теннисные корты;338
892;Площадки для мини-гольфа;8
893;Спортивные площадки;1486
894;Бассейны плавательные открытые;22
895;Площадки пейнтбольные;15
897;Дорожки велосипедные;142
898;Тренажерные городки (воркауты);2429
899;Беговые дорожки;619
901;Гребные базы и каналы;1
902;Поля конно-спортивные для конкура и выездки;47
905;Детские развивающие центры;7
906;Летние эстрады, сцены;36
907;Лодочные станции;20
908;Роллердромы, скейтпарки;74
909;Места для летнего купания;11
910;Мини-зоопарки;4
911;Веревочные городки;10
912;Места для пикника;152
913;Площадки для настольных игр;286
914;Автодромы аттракционные;5
915;Автодромы детские учебные;21
916;Велосипедные парковки;872
917;Площадки для городошного спорта;21
918;Станции проката велосипедов;603
919;Зоны отдыха у воды;115
920;Пешеходные зоны;26
921;Гарантированный перечень услуг по погребению на безвозмездной основе;19
961;(Архив) Избирательные участки города Москвы;3641
981;(Архив) Фонтаны;366
1022;Нежилые помещения, зарегистрированные в собственность города Москвы;92751
1034;Учреждения, осуществляющие управленческие функции;39
1037;Обеспеченность музыкальными инструментами музыкальных образовательных учреждений;23227
1040;Реестр лауреатов Грантов Мэра Москвы в сфере культуры и искусства;99
1043;Пункты выдачи технических средств реабилитации;44
1044;Учреждения социальной помощи для бездомных граждан;11
1045;(Архив) Государственные бюджетные образовательные учреждения, школы-интернаты;10
1046;Ответственные балансодержатели межрельсового покрытия участков трамвайных путей;9
1047;Транспортно-пересадочные узлы;278
1051;Специализированные стоянки;24
1062;Стационарные снегоплавильные пункты;49
1070;(Архив) Образовательные услуги (ДОгМ);725
1071;(Архив) Лицензирование и аккредитация;725
1078;(Архив) Результаты ГИА;8639
1093;Победители олимпиад;41767
1095;(Архив) Отделения почтовой связи;522
1098;Места приема экзаменов на получение удостоверения на право управления самоходной техникой;8
1099;(Архив) Приёмные по вопросам приватизации жилых помещений;139
1101;(Архив) Доля города Москвы в хозяйственных обществах;164
1102;Рейтинг топ-100 должников арендной платы по договорам аренды нежилых помещений;100
