category,city,name,region,subcategory,tags
Отели,Отели Москвы,Арт Отель,Москва,,
Отели,Отели Москвы,Дрим Он Хостел,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Дом на Маяковке,Москва,,
Отели,Отели Москвы,Холидей Инн Экспресс Москва - Ховрино,Москва,,
Отели,Отели Москвы,Отель Старосадский,Москва,,
Отели,Отели Москвы,"Pentahotel Moscow, Arbat",Москва,,
Отели,Отели Москвы,Отель Кебур-Палас/Отель Амбассадори,Москва,,
Отели,Отели Москвы,Гостиница Арбат,Москва,,
Отели,Отели Москвы,Бутик-отель PR Myasnitsky,Москва,,
Отели,Отели Москвы,МОСС Бутик отель,Москва,,
Отели,Отели Москвы,"Апартаменты ""Гарден эмбасси""",Москва,,
Отели,Отели Москвы,Гостиница Сретенская,Москва,,
Отели,Отели Москвы,Ибис баджет Москва Панфиловская,Москва,,
Отели,Отели Москвы,Шератон Палас Отель Москва,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Отель Маросейка 2/15,Москва,,
Отели,Отели Москвы,Отель Москва Марриотт Ройал Аврора,Москва,,
Отели,Отели Москвы,Хостел Бокстел,Москва,,
Отели,Отели Москвы,Резиденция Булгакова,Москва,,
Отели,Отели Москвы,Гостиница Академическая,Москва,,
Отели,Отели Москвы,Апарт-Отель Международная 4*,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Мира,Москва,,
Отели,Отели Москвы,П 17 Отель,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Отель «Леонарт»,Москва,,
Отели,Отели Москвы,Ханзер отель,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,"Мини-гостиница ""Авиамоторная""",Москва,,
Отели,Отели Москвы,Отель Малетон,Москва,,
Отели,Отели Москвы,Отель Red Brick,Москва,,
Отели,Отели Москвы,Ring Road Hotel,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Kaufman Hotel,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Мини-отель Квартира № 2,Москва,,
Отели,Отели Москвы,Альянс Уланская,Москва,,
Отели,Отели Москвы,Intermark Residence,Москва,,
Отели,Отели Москвы,Арт Хаус Хостел на Полянке,Москва,,
Отели,Отели Москвы,Мини-отель Морошка,Москва,,
Отели,Отели Москвы,Hotel Gentalion Moscow,Москва,,
Отели,Отели Москвы,Шереметьевский парк-отель,Москва,,
Отели,Лапшинка,Hotel Tranzit-Vnukovo,Московская Область,,
Отели,B&B/мини-отели/гостиницы Москвы,"Гостиница ""Delight""",Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Arthoff,Москва,,
Отели,Отели Москвы,"Гостиница ""Турист""",Москва,,
Отели,Отели Москвы,Seven Hills Lubyanka,Москва,,
Отели,Отели Москвы,Хостел Артист,Москва,,
Отели,Отели Москвы,Рослеспром гостиница,Москва,,
Отели,Отели Москвы,Hotel Gostika,Москва,,
Отели,Отели Москвы,Мистер Жулебин,Москва,,
Отели,Химки,Куркино Дом Отдыха,Московская Область,,
Отели,Отели Москвы,Сити Отель 1905,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Погости на Тульской,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Отель Леон Спа,Москва,,
Отели,Одинцовский район,Gala Luxe,Московская Область,,
Отели,Отели Москвы,Веллион Водный,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Аскет отель,Москва,,
Отели,Отели Москвы,High Level Hostel,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Мишель,Москва,,
Отели,Отели Москвы,Shelter-Hotels VDNKH,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Винтерфелл на Курской,Москва,,
Отели,Отели Москвы,Mövenpick Moscow Taganskaya,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Д'отель Щукинская,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Отель Стромынка,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Отель Морион,Москва,,
Отели,Отели Москвы,Love Hotel Bellini,Москва,,
Отели,Отели Москвы,"Арт бутик-отель ""Отокомае""",Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Mary Poppins Arbat,Москва,,
Отели,Отели Москвы,Markell Hotel,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Shelter Hotels,Москва,,
Отели,Отели Москвы,Отель Олива,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Magic Circus,Москва,,
Отели,Отели Москвы,Портал Хостел и Отель,Москва,,
Отели,Отели Москвы,1ый Арбат Хостел Семеновский,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Бутик-Отель Афиша,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Гостиница Antis House Uninn,Москва,,
