category,city,name,region,subcategory,tags
Рестораны,Рестораны Москвы,GROOT Cafe-lab,Москва,,
Рестораны,Рестораны Москвы,Ткемали,Москва,,
Рестораны,Рестораны Москвы,Новая Азия,Москва,,
Рестораны,Рестораны Москвы,Пауланер Браухаус Павелецкий,Москва,,Бар
Рестораны,Рестораны Москвы,Рыбы нет,Москва,,
Рестораны,Рестораны Москвы,Ресторан Moments,Москва,,Бар
Рестораны,Рестораны Москвы,Квартира 44,Москва,,Бар
Рестораны,Рестораны Москвы,Омулевая бочка,Москва,,
Рестораны,Рестораны Москвы,Pioppo Albero,Москва,,
Рестораны,Рестораны Москвы,MEGUmi,Москва,,
Рестораны,Рестораны Москвы,"Джаз-клуб ""Эссе""",Москва,,"Бар,Кафе"
Рестораны,Рестораны Москвы,Oстерия Альберобeлло,Москва,,
Рестораны,Рестораны Москвы,ЭZО,Москва,,
Рестораны,Рестораны Москвы,Cantinetta Antinori,Москва,,
Рестораны,Рестораны Москвы,Breakfast Cafe,Москва,,Кафе
Рестораны,Рестораны Москвы,БирХаус,Москва,,Бар
Рестораны,Рестораны Москвы,Порто Миконос,Москва,,
Рестораны,Рестораны Москвы,Квартира 44,Москва,,Бар
Рестораны,Рестораны Москвы,Ресторан Дружба,Москва,,
Рестораны,Рестораны Москвы,Пилпили,Москва,,
Рестораны,Рестораны Москвы,Zames,Москва,,Бар
Рестораны,Рестораны Москвы,Варка,Москва,,"Бар,Паб"
Рестораны,Рестораны Москвы,БирХаус,Москва,,Бар
Рестораны,Рестораны Москвы,Scampi,Москва,,
Рестораны,Рестораны Москвы,Ресторан Marriott Royal Aurora,Москва,,
Рестораны,Рестораны Москвы,Рецептор,Москва,,
Рестораны,Рестораны Москвы,Духан Чито-Ра,Москва,,
Рестораны,Рестораны Москвы,Steak It Easy,Москва,,Бар
Рестораны,Рестораны Москвы,Мадам Галифе,Москва,,
Рестораны,Рестораны Москвы,Пиццерия АНТОНИО,Москва,,Кафе
Рестораны,Рестораны Москвы,Cedro Albero,Москва,,
Рестораны,Рестораны Москвы,Ресторан Nobu Москва,Москва,,
Рестораны,Рестораны Москвы,Бистро Крылья,Москва,,Фастфуд
Рестораны,Рестораны Москвы,Хитрые люди,Москва,,"Бар,Кафе"
Рестораны,Рестораны Москвы,Mollusca на Патриках,Москва,,
Рестораны,Рестораны Москвы,MarketPlace,Москва,,
Рестораны,Рестораны Москвы,Ай Лав Кейк,Москва,,Кафе
Рестораны,Рестораны Москвы,Steak It Easy,Москва,,Бар
Рестораны,Рестораны Москвы,Мистер Ли,Москва,,
