Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
58.36844	32.0666	Зайцева гора	ул. Центральная, 139, Зайцево 175453 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52589	31.27429	Борщи	Большая Санкт-Петербургская, 5/1, Великий Новгород 173001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52569	31.292025	My Kitchen	ул. Большая Московская, 52/9, Великий Новгород 173000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
57.99161	31.359343	SOVA	Тимура Фрунзе,  д.4а, Старая Русса 175204 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.546425	31.23075	Скорофуд  Еда&Мьюзик БугиВуги	Кочетова 1А, Великий Новгород Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.39063	33.91183	Пельменная	ул. Подбельского, 13, Боровичи Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52632	31.2806	Пицерия "Джойя"	ул. Великая, д. 11/10 изменение  сайта, Великий Новгород 173001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52632	31.2806	Милена	Великая, 3, Великий Новгород 173001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52589	31.27429	Веснянка	Большая Санкт-Петербургская, 9, Великий Новгород 173001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.53655	31.29171	На Солнце	Студенческая, 2, Великий Новгород 173014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.53342	31.2695	Столовка	Набережная реки Гзень, 5, Великий Новгород 173003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.529453	31.284264	Terraza	ул. Великая, д. 14а, Великий Новгород 173001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52589	31.27429	Акрополь "ГИРОС"	ул. Большая Санкт-Петербургская, 26, Великий Новгород 173003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.51422	31.250275	ПерSона	улица Батецкая, 22, Великий Новгород 173015 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.27994	32.447388	Cafe Voyage	M-10, Moscow - Saint Petersburg Hwy., 451 km, Долгий Мост 606860 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.51617	31.28572	Турецкий DonaR	Большая Московская, 25, Великий Новгород 173004 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
