Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
55.83679	38.40209	Ресторан Халиф	ул. Юбилейная, 6, Ногинск 142407 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.766605	37.63021	Китайская Грамота	ул. Сретенка, 1, Москва 107045 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.78437	37.4693	Brooklyn Pizza Pie	ул. Маршала Тухачевского, 41/1, Москва 123154 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.769787	37.597187	PIVBAR	ул. 1-я Тверская-Ямская, 2/1, Москва Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75757	37.63506	Кафе Натахтари	ул. Маросейка, 6/8 стр.1, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.766968	37.607494	Black Thai	Большой Путинковский переулок, 5, Москва Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.746086	37.600624	Баба Марта	Гоголевский бульвар, д. 8 стр. 2 м. Кропоткинская, Москва 119019 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.766186	37.61051	Twins Garden	Страстной бульвар, 8А, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.74546	37.627243	Ресторан Bjorn	ул. Пятницкая., 3/4, Москва 115035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.762196	37.635006	Па-Паэлья	Банковский пер., 5, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.763187	37.604588	Турандот Ресторан	Тверской бульвар, 26/3, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.774006	37.586792	AQ Kitchen	ул. Большая Грузинская, 69, Москва 123056 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.757282	37.61306	Ритц-Карлтон Бар и Лобби Лаунж	Тверская ул., 3, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.74458	37.59582	Эларджи	Гагаринский переулок, д. 15а (м. Кропоткинская), Москва 119034 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.741558	37.65629	Косой Маркс	ул. Таганская, 1/1, Москва 109147 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.765625	37.597504	Рыбный базар	Трехпрудный пер., д. 10/2, Москва 123001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.750534	37.595207	Балалаечная	Арбат 23, Москва 119002 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.741917	37.59876	Dodici Wine & Kitchen	ул. Остоженка, 14/2, Москва 119021 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75864	37.640797	Saperavi Cafe	ул. Покровка, 5, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76118	37.61475	Молоко	Большая Дмитровка ул., 7/5 стр. 5, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.780807	37.575	Ача-чача	Ленинградский проспект, д, 9Б, стр.1, Москва 125124 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
56.31136	38.13492	Кафе Пиросмани	проспект Красной Армии, 138/2, Сергиев Посад 141310 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.775192	37.585155	Суп кафе	1-я Брестская ул., 62, Москва 125047 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.761936	37.613705	Fresh	ул. Б. Дмитровка, д. 11, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.761574	37.61981	Vogue Cafe	ул. Кузнецкий Мост, 7/9, Москва 107031 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.77584	37.586	Mr.Help&Friends	ул. 1-я Тверская-Ямская, д. 27, стр. 1 м. Белорусская, Москва 125047 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.739746	37.612682	The Сад	Якиманская наб., 4 стр. 1, Москва 119180 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
