Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
61.778774	34.376804	Нойбранденбург	Калинина, 26, Петрозаводск 185003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
60.97588	32.9755	Кафе Прованс	ул. Красноармейская, д.2, Олонец 186000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76124	34.32193	Сигма-Сити	Лесной проспект, 47, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77961	34.33063	Хан-Ган	Репникова, 25, Петрозаводск 185033 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78014	34.35759	Cherchez La Femme	ул. Анохина, 41, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.20622	34.24096	кафе "Коралл"	Строительная, 15а, Кондопога 186223 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.7695	34.30827	Сациви	ул.Березовая аллея 31, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.340572	34.006477	Рыбка	ул. Геологов, 1, Сопоха 186220 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.909374	34.453644	Железнодорожник	Артемьева, д. 25, Медвежьегорск 186352 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78832	34.38019	Солнцевой	Куйбышева, 17, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.7019	30.69318	Кафе Ранта	ул. Чкалова, 3, Сортавала Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.788113	34.384098	Яблочное	Карла Маркса проспект, 12, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78497	34.34433	Экспресс	площадь Гагарина, 2, Петрозаводск 185010 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.70844	30.69946	Просто Вкусно	Бондарева,  дом 8, Сортавала 186790 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.91619	34.46274	Кафе Винтаж	ул. Горького, 35/1, Медвежьегорск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
64.58821	30.60042	Ресторан Окей	бул. Лазарева, 2, Костомукша Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.79677	34.35468	Тик Тайм	ул. Ленинградская, 12, Петрозаводск 185031 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78815	34.36534	Subway	Ленина проспект, 14, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78815	34.36534	Карелочка	Ленина проспект, 38, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
