Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
53.19873	50.18795	Отель  Прага	Таксомоторный пер., 10, Самара 443079 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.21018	50.23749	Резиденция Троя	ул. Среднеcадовая, 17, Самара 443058 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.151737	48.47298	Отель Априори	ул. Соловьева д. 54, Сызрань 446001 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.24023	50.17436	Гостиница Ост-Вест Бед энд Брекфаст	Градовская улица, д. 69, Самара 443011 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.53127	49.43103	Гостиница Азот	ул. Победы, д.40, Тольятти 445009 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.21425	50.14627	My Home Star Apartments	Novo-Sadovaya Ulitsa 139, Самара 443068 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.32376	50.31529	Dom 55	Bulvar Ivana Finyutina 55, Самара 443028 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.499878	49.285694	Hostel Togliatty	ул. Спортивная, д. 16, кв. 396, Тольятти 445057 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.54391	49.32179	Золотой Шар	Офицерская, 35, Тольятти 445044 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.21251	50.12739	Гостиница Корона	ул. Осипенко, д. 1, Самара 443110 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.887547	51.250877	Югра	M-5 автодорога Москва-Челябинск, Суходол 446552 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.199627	50.125523	Отель Самара Люкс	ул. Чкалова, 90, Самара 443001 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.471825	49.955692	Верхний Бор	Московское шоссе 18 км, лит А к8, Самара 443072 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.51574	49.8275	Славянская деревня	ул. Лесная, д. 18, Самара 446397 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.25916	50.204945	Отель Вип Хаус	ул. Солнечная, 48а, Самара 443031 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.206367	50.111767	Apart Htl Art	Волжский проспект, 31/2, Самара 443071 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.30169	50.20109	Парк-отель Городок	Студеный овраг, 3-я линия, д. 116, Самара 443031 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.209667	48.483	Гараж	М5,  888 км, 6Б, Новая Крымза 446022 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20535	50.22759	Hostel SamGUPS	1-y Bezymyannyy Pereulok 14, Самара 443066 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.466103	49.388702	Новая Волна	Комсомольское шоссе, 68, Тольятти 445003 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.54773	49.33107	Гостиница Поручикъ Голицынъ	ул. Автостроителей, д. 66, Тольятти 445044 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.53247	49.41411	Энергетик	Фёдоровские Луга проезд, 2, Тольятти Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18976	50.09057	Hostels Rus Samara	Куйбышева, 113, Самара 443099 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.205833	50.11341	Палуба	ул. Прибрежная, д. 10 ул. Маяковского 2, Самара Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.209732	50.121414	Гостиница Самарского университета	ул. Лесная, д. 4, Самара 443071 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.49075	49.51187	Гостиничный комплекс Дон Кихот	Ул. Громовой, 39, Тольятти 445045 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5009	49.35785	Русский Бор	Лесопарковое шоссе, 12 к3, Тольятти Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.54773	49.33107	Хостел Достоевский	ул. Автостроителей, 50Б, Тольятти 445044 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.542347	49.515602	Калина красная	ул. Шоссейная, д. 32, с. Васильевка 445130 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.540867	50.30468	Zyolkovsky Zagorodny Kompleks	Poselok Zhareny Bugor, Самара 446378 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.40178	49.48233	Жигули	ул. Пионерская, д. 4а, Жигулевск 445350 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18679	50.088634	Отель Фурор	Куйбышева, 87, Самара 443099 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.15342	48.46365	Чайка	Ульяновская улица, д. 57, Сызрань 446001 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.185036	50.10176	Тоника	ул. Ленинградская, д. 86, Самара 443020 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.53122	49.39364	Матрёшка	ул.Ларина, д.46, Тольятти 445004 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5009	49.35785	Звездный	Лесопарковое шоссе, 85 ст1, Тольятти Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.26729	50.20262	Интер Отель	9-я просека 5-я линия, 70, Самара 443031 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5009	49.35785	ШаМони	Лесопарковое шоссе, д. 93, Тольятти 445003 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.30374	50.19968	Можайский	Студёный Овраг, 34а, Самара 443031 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.37316	51.34074	Старый городъ	ул. Ленина, 41, Отрадный 446300 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.41693	50.01558	Ширвуд	ул.Самарская 3, Ширяево 445364 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.53663	49.35182	KvartHaus	40 Let Pobedy No. 45, apt.131, Тольятти 445000 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18906	50.10819	Аврора	ул. Ленинская, д. 302, Самара 443001 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19871	50.185818	Гостиница Пирамида	ул. 4-й проезд, д. 18, Самара 443079 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.36457	50.18595	Красная Глинка	Южный пос., 36, Самара 443048 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5009	49.35785	Радуга	Лесопарковое шоссе, 36, Тольятти 445003 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.4999	49.285736	Хостел "Лайк"	ул. Спортивная, 6 подъезд 2/1, Тольятти 445057 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19876	50.10229	Hostel Mishka	Chapayevskaya Str. 189 A 2nd Floor, Самара 443010 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.502502	49.423	Like Hostel Tolyatti	бульвар Ленина, 21, Тольятти 445021 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.57193	49.33564	Загородный гостиничный комплекс "Подстепки Хаус"	ул, Дачная, 19б с. Подстепки, Подстёпки 445143 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.50505	49.55231	Старт	Федеральная трасса М5, 978 км, Тольятти Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.54773	49.33107	Холидей Хаус	ул. Автостроителей, д. 5, Тольятти 445037 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.45506	49.57386	База отдыха Лада	полуостров Копылово, Тольятти Россия	Средства размещения	Гостиницы и санатории	2020-10-23
52.98416	49.45009	Вереск	Комсомольская,  52, Безенчук 446250 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19243	50.09944	Hotel Times	Molodogvardeyskaya Ulitsa 142/144, Самара 443010 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.301434	50.201187	Парк отель Три Кота	ул. Студеный овраг, 3 линия/118, Самара 443031 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18036	50.09618	Отель Сквер Высоцкого	Самарская, д. 59, Самара 443020 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.27482	48.47683	Famili Hotel	Trassa M5 Proyezd V Ul'yanovsk 320 km, Ивашевка 446075 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.430717	50.09021	Шведские дачи	ул. Заводская, Волжский 446394 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.188335	49.688602	Hotel Monastyrskaya	Ulitsa Kazachkova 3, с. Винновка 445165 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.11675	50.05826	Ostrovok Holiday Park	Ul.Zavodskaia 21b, Pos.Volzhskii, Самара 443529 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.26779	50.25849	Элизиум	Ул. Алма-Атинская,д.268, Самара 443106 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.21341	50.1349	Hotel Time Ladya	Novo-Sadovaya Street 30, Самара 443110 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.406536	49.311222	База отдыха Приволье	Молодецкий Курган, 10а, Жигули 445163 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.26719	50.24246	Радиоцентр	ул. Техническая, 1, Самара 443122 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.50096	49.54344	Восьмая Миля Мотель	Трасса М5, 977 км, Тольятти Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5058	49.3915	Гостиница "Звезда Жигулей"	ул. Мира, 77, Тольятти 445021 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.27218	50.187428	Санаторий имени В. П. Чкалова	Бaрбошинa полянa, 9-я просекa (Полянa им. Фрунзе), Самара 443031 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.472557	49.47931	Чайка	ул. Коммунистическая, 94, Тольятти 445012 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.51308	50.1568	Avia	Airport Samara, Самара 443093 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20287	50.121376	Book Hostel	ул. Чкалова, 44, Самара 443001 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20334	50.15045	Радуга	около пос. Прибрежный, Самара 443030 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5239	49.320885	Хостел ТРИП	ул. Свердлова, дом 1В, Тольятти 445039 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.13221	48.43919	Hotel Solo	Образцовская 87, Сызрань 446020 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.453323	49.53473	Тихая Гавань	Бурлацкая, 11а, Тольятти 445091 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.51082	49.23019	Гостиница Приморье	ул. Школьная, 12 Приморский, Приморский 445000 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.238163	50.180687	Отель 24 Часа	Ул. Советской Армии, д. 240, Самара 443011 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18053	50.10344	DAVO del KAR	Братьев Коростелевых,  100, Самара 443041 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5009	49.35785	База отдыха Зеленый Берег	Лесопарковое шоссе, 81, Тольятти 445003 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.53933	49.35825	My Hostel	70 лет Октября, д.26, Тольятти 445047 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.54543	49.38229	Мини-отель "Эмона"	Автозаводское шоссе, д. 19, Тольятти 445004 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18533	50.10299	Гостиница Rooms на Садовой	Садовая ул., 63, Самара 443020 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18766	50.19046	Южный ГК	Авроры улица, д. 36, Самара 443080 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19255	50.12586	Бизнес-Отель	ул. Урицкого, д. 19, Самара 443030 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.51381	49.61436	Уют	Федеральная трасса М5 981 км, 1а, Зелёновка Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18634	50.11291	Skifmusic Hostel	ул. Буянова, 106, Самара 443001 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19363	50.09652	Камелия Хостел	Красноармейская 60/27, Самара 443041 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20228	50.1563	Mini Studiya Istrum	173 Proletarskaya Ulitsa, Самара 443013 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
