с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
19736196,2020-12-15,Камчатский край,Елизово,Отели,,,Forest Hotel,"9A Geofizicheskaya Ulitsa, Елизово 684000 Россия",53.18974,158.37042
21127159,2020-12-15,Камчатский край,Козыревск,Отели,,,Hoteltolbachik,"2 Rabochii Pereulok, 13, Козыревск 684405 Россия",56.05611,159.87144
12532794,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Hostel on Chernyshevskogo 45,"Chernyshevskogo 45, Петропавловск-Камчатский 683024 Россия",53.04059,158.65099
12539835,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Mini-Hotel Peliken,"Vostochnoye Shosse, Петропавловск-Камчатский 683000 Россия",53.07184,158.64044
8402664,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,"Бар,Паб",Рандеву,"Войцешека, 3а/3, Петропавловск-Камчатский Россия",53.0588,158.62914
8402635,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Папарацци,"Советская, 35, Петропавловск-Камчатский 683000 Россия",53.01277,158.65182
6954036,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Ямато,"ул. Лукашевского, д. 5 1 этаж; ТЦ Планета, Петропавловск-Камчатский 683024 Россия",53.06059,158.63647
20140818,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Яранга,"Озерновская коса, 4, Петропавловск-Камчатский 683980 Россия",53.02872,158.64098
8402561,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Фортуна,"Ленинская, 38, Петропавловск-Камчатский 683000 Россия",53.02252,158.64685
8402556,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,Кафе,Экспресс,"Победы проспект, 65, Петропавловск-Камчатский Россия",53.06986,158.61478
17704163,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Киш Миш,"50 лет Октября, 16/1 ТРК Парус, Петропавловск-Камчатский 683024 Россия",53.05168,158.64377
8436112,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Павлинка,"Космический проезд, д. 5в, Петропавловск-Камчатский Россия",53.05677,158.66588
8402644,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,"Бар,Паб",Пивной Бар,"Ключевская, 51, Петропавловск-Камчатский 683003 Россия",53.03306,158.63724
8402593,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Хруст Булка,"Пийпа бульвар, 6, Петропавловск-Камчатский Россия",53.06904,158.60742
16868316,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Roll-Express,"Бульвар Пийпа, 6, Петропавловск-Камчатский Россия",53.06907,158.60747
8436466,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,"Бар,Паб",Тадоликс,"ул. Абеля, д. 4, Петропавловск-Камчатский Россия",53.06887,158.60052
8402636,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Печки-лавочки,"Виталия Кручины, 8/1, Петропавловск-Камчатский 683002 Россия",53.06853,158.64662
8402634,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Папарацци,"Ленинградская, 100, Петропавловск-Камчатский 683003 Россия",53.031654,158.6385
8402576,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Хесбургер,"50 лет Октября проспект, 16/1, Петропавловск-Камчатский Россия",53.05166,158.64378
8342250,2020-12-15,Камчатский край,Елизово,Рестораны,,,Ресторан Полёт,"Привокзальная площадь, Елизово 684005 Россия",53.16927,158.42516
8402508,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Бродвей,"Ленинградская, 49, Петропавловск-Камчатский 683003 Россия",53.031654,158.6385
19254022,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Камбала,"Озерновская Коса, 9, Петропавловск-Камчатский 683980 Россия",53.027,158.64127
8402654,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,Фастфуд,Планета-Пицца,"Космический проезд, 3а, Петропавловск-Камчатский Россия",53.05677,158.66588
8402496,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Бисквит Роял,"50 лет Октября проспект, 1а, Петропавловск-Камчатский Россия",53.05166,158.64378
8402734,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Ё-Буфет,"50 лет Октября проспект, 26, Петропавловск-Камчатский Россия",53.05166,158.64378
8402677,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Славянский,"Победы проспект, 22, Петропавловск-Камчатский Россия",53.07217,158.59207
