с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,"Бар,Паб",Погребок Флинта,"Речная, 1, Великий Новгород 173009 Россия",58.50747,31.236792
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Yambox,"Колмовская наб., д.3, Великий Новгород 173003 Россия",58.54209,31.27762
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Центр Суши,"ул. Кочетова, 20 ГМ Магнит, Великий Новгород 173025 Россия",58.53619,31.220407
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Ворлд Бир,"Завокзальная, 7, Великий Новгород 173015 Россия",58.52476,31.24501
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Пив & Ко,"Большая Московская, 84, Великий Новгород 173020 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Бадемус,"Студенческая, 2, Великий Новгород 173020 Россия",58.53638,31.29192
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Закусочная,"Набережная реки Гзень, 2а, Великий Новгород 173003 Россия",58.53342,31.2695
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Идеал,"Псковская, 48, Великий Новгород 173009 Россия",58.52391,31.25871
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Паб,Бир Хауз,"Большая Московская, 112, Великий Новгород 173020 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Кофемолка,"ул.Псковская 11, Великий Новгород Россия",58.52391,31.25871
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,На Объездной,"ул. Индустриальная, д. 11, Великий Новгород 173526 Россия",58.493496,31.20344
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,"Бар,Паб",Фортуна,"Юннатов пер, 1, Великий Новгород 173015 Россия",58.51986,31.258
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Корица,"Луговая 7, Великий Новгород Россия",58.50643,31.23393
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Вкусняшки,"ул. Розважа, 13, Великий Новгород Россия",58.52624,31.27501
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Палуба,"ул. Школьная, 6, Великий Новгород 174210 Россия",58.56812,31.31429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Сушишоп,"Мира, 21, Великий Новгород Россия",58.54552,31.23465
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Мечта,"ул. Октябрьская, 2, Великий Новгород 173526 Россия",58.515263,31.238043
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Сушишоп,"Большая московская, 112, Великий Новгород 173020 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Закусочная,"Большая Санкт-Петербургская, 32, Великий Новгород 173003 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Антоново,"Парковая, 5/1, Великий Новгород 173020 Россия",58.53787,31.29243
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,"Спорт Бар ""Пивная Лига""","Большая Санкт-Петербургская 43а, Великий Новгород 173001 Россия",58.54339,31.2601
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,РестоДискоБар REX,"Ул. Московская, 55, Великий Новгород 173000 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Пончики,"444 км а/д М10 ""Россия"", Великий Новгород 175462 Россия",58.57658,31.28855
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Трюфель,"Набережная Александра  Невского 28, Великий Новгород 173004 Россия",58.52965,31.270191
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,ТРИ СОУСА,"Большая Санкт-Петербургская, 33, Великий Новгород 173003 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,1000 и одна ночь,"Александра Корсунова проспект, 32а, Великий Новгород 173024 Россия",58.54337,31.2509
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Встреча,"Большая Санкт-Петербургская, 21, Великий Новгород 173001 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Адепт,"Мира проспект, 4, Великий Новгород 173024 Россия",58.54552,31.23465
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Жара,"Большая Московская, 41, Великий Новгород 173020 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Зелёный огонёк,"Студенческая, 31, Великий Новгород 173020 Россия",58.53638,31.29192
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Кабриолет,"Большая Санкт-Петербургская, 41 к7, Великий Новгород 173003 Россия",58.54026,31.26045
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Лагуна,"Кочетова, 6 к3, Великий Новгород 173024 Россия",58.546227,31.22991
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Оазис,"Рабочая, 25а, Великий Новгород 173008 Россия",58.55552,31.26207
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Подкова,"Нехинская, 24 к1, Великий Новгород 173021 Россия",58.52304,31.24655
2020-10-22,Новгородская область,Окуловка,Рестораны,,,Суши Фуд,"Больничный пер., 1, Окуловка 174353 Россия",58.37529,33.29618
2020-10-22,Новгородская область,Старая Русса,Рестораны,,,Аура,"ул. Поперечная, 34, Старая Русса 175202 Россия",58.00365,31.36322
2020-10-22,Новгородская область,Старая Русса,Рестораны,,,Рушане,"Кириллова д.14, Старая Русса 175202 Россия",57.99144,31.355558
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Павлин,"Свободы, 7а, Великий Новгород 173023 Россия",58.54092,31.24219
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Рабочий полдень,"Рабочая, 42Б, Великий Новгород 173008 Россия",58.55552,31.26207
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Плакучая Ива,"Нехинская, 57, Великий Новгород 173021 Россия",58.52273,31.24465
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Причал,"Александра Корсунова проспект, 30, Великий Новгород 173024 Россия",58.54337,31.2509
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Три желания,"Большая Санкт-Петербургская, 42, Великий Новгород 173003 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,"Столовая ""Проектстрой""","ул. Большая Санкт-Петербургская, 74, Великий Новгород 173000 Россия",58.546307,31.271008
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,"Бар,Паб",Филин,"Большая Московская, 112, Великий Новгород 173020 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Дружба,"Свободы, 25, Великий Новгород 173024 Россия",58.54092,31.24219
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Шансон,"Свободы, 25, Великий Новгород 173024 Россия",58.54092,31.24219
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Джасмин,"Большая Московская, 114а, Великий Новгород 173020 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Кошелёк,"Мира проспект, 33а, Великий Новгород 173021 Россия",58.54552,31.23465
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Антракт,"ул. Ломоносова, д. 22а, Великий Новгород 173021 Россия",58.54319,31.24386
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Винни Вино Бар,"Псковская, 16, Великий Новгород 173015 Россия",58.52392,31.25846
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Емеля,"Мира проспект, 21/1, Великий Новгород 173025 Россия",58.53959,31.23512
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Ontre,"Воскресенский бульвар, 9 к1, Великий Новгород 173002 Россия",58.52545,31.26068
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Cafe Valentia,"пр. Мира, 32/1, Великий Новгород 173001 Россия",58.531597,31.230913
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Панковка,"ул. Первомайская, 2, Великий Новгород 173526 Россия",58.51696,31.30004
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Домашний Уют,"Рабочая, 49, Великий Новгород 173008 Россия",58.55552,31.26207
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Сушишоп,"Псковская, 44, Великий Новгород Россия",58.510086,31.234728
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Пивной Кабачок,"Попова, 10, Великий Новгород 173025 Россия",58.53175,31.23965
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Сушишоп,"Воскресенский, 12, Великий Новгород Россия",58.52545,31.26068
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Милана,"Мининский пер, 3, Великий Новгород 173001 Россия",58.52915,31.27266
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Глазурь,"ул. Ломоносова, 9/1, Великий Новгород 173016 Россия",58.54072,31.245474
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Олимпия,"Большая Санкт-Петербургская, 6, Великий Новгород 173003 Россия",58.527054,31.273638
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Петра,"Александра Корсунова проспект, 18, Великий Новгород 173016 Россия",58.54337,31.2509
2020-10-22,Новгородская область,Валдай,Рестораны,,,Чуду-Пицца,"Комсомольский просп., 56, Валдай 175400 Россия",57.97441,33.25637
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,"Бар,Паб",Долина Вин,"Парковая, 8, Великий Новгород 173014 Россия",58.53787,31.29243
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,"кафе-бар ""LES""","Б. Санкт-Петербургская, д. 25 правая парковка, ТД ""Русь"", Великий Новгород 173001 Россия",58.52589,31.27429
