с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
15836031,2020-12-15,Калининградская область,Калининград,Отели,,,Apartment Status,"Ulitsa Aleksandra Nevskogo 59 Apt 25, Калининград 236008 Россия",54.75257,20.543104
17626317,2020-12-15,Калининградская область,Калининград,Отели,,,Guest House Alina,"Fizkulturnaya Ulitsa 5, Калининград 236003 Россия",54.711655,20.543842
15192771,2020-12-15,Калининградская область,Калининград,Отели,,,Honey Bridge Hotel,"Oktyabr'skaya Ulitsa, 2, Калининград 236006 Россия",54.70522,20.51451
2692673,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Отель Принцесса Элиза,"ул. Володарского, д. 20А, Зеленоградск 238530 Россия",54.963524,20.483143
300487,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница Москва,"Мира проспект, 19-21, Калининград 236022 Россия",54.71958,20.487055
12030877,2020-12-15,Калининградская область,Сокольники,Отели,,,"Замковое имение ""Лангендорф""","ул. Парковая, 5, Сокольники 238220 Россия",54.66139,20.932817
2143372,2020-12-15,Калининградская область,Светлогорский район,Отели,,,"Гостиница ""Золотая бухта""","ул. Пушкина, 6, Светлогорск 236039 Россия",54.94297,20.14608
628109,2020-12-15,Калининградская область,Калининград,Отели,,,Вилла Гламур,"Верхнеозерная улица, д. 26, Калининград 236008 Россия",54.732456,20.526642
2335267,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,"Отель ""Ренессанс""","ул. Гагарина, 17б, Зеленоградск 238530 Россия",54.95799,20.46622
2537289,2020-12-15,Калининградская область,Калининград,Отели,,,Бутик-Отель Анна,"Тенистая аллея, д. 71, Калининград 236010 Россия",54.721634,20.419504
5534919,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница «Берлин»,"ул. Киевская, 17б, Калининград 236039 Россия",54.68974,20.497635
305174,2020-12-15,Калининградская область,Светлогорский район,Отели,,,Отель Русь,"ул. Верещагина, д. 10, Светлогорск 238560 Россия",54.94666,20.165762
7645190,2020-12-15,Калининградская область,Калининград,Отели,,,КойкаГо,"ул. Богдана Хмельницкого, 33-37, Калининград 236039 Россия",54.69734,20.507158
300516,2020-12-15,Калининградская область,Калининград,Отели,,,Отель Дона,"Маршала Василевского площадь, 2, Калининград 236016 Россия",54.719624,20.524233
8685706,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Элиза Инн,"ул. Ткаченко, 4, Зеленоградск 238530 Россия",54.959457,20.47781
14136360,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,"Хостел ""АРТ""","ул. Московская, д. 5, Зеленоградск 238530 Россия",54.95975,20.47664
2444910,2020-12-15,Калининградская область,Орловка,Отели,,,"Отель-замок ""Нессельбек""","Центральный переулок 7, Орловка 238324 Россия",54.793167,20.53376
10438406,2020-12-15,Калининградская область,Калининград,Отели,,,LaBelle,"Village Pregolsky 149, Калининград 236010 Россия",54.71969,20.50392
10718629,2020-12-15,Калининградская область,Калининград,Отели,,,Seestern Haus,"ul. 9 Aprelya 24, Apt. 33, Калининград 236016 Россия",54.71272,20.52312
3768297,2020-12-15,Калининградская область,Калининград,Рестораны,,,Ресторан при гостевом доме Параисо,"ул. Тургенева, д. 32а, Калининград 236008 Россия",54.73648,20.52225
6129938,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,,Сковородка,"Курортный проспект, 3, Зеленоградск Россия",54.961666,20.48152
3776821,2020-12-15,Калининградская область,Калининград,Рестораны,,,Наутилус,"Чекистов ул., 14-16, Калининград 236023 Россия",54.732155,20.48133
14024715,2020-12-15,Калининградская область,Калининград,Рестораны,,,Мамин Сибиряк,"ул. Озёрная, 1а, Калининград 236029 Россия",54.73591,20.50903
13327257,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,,Park House,"ул. Чкалова, д. 19 Пляж ""Сковородка"", Зеленоградск 238326 Россия",54.964638,20.489548
3770226,2020-12-15,Калининградская область,Калининград,Рестораны,,,Английский Паб Сэр Френсис Дрейк,"Советский пр-кт, 19a, Калининград 236022 Россия",54.725964,20.495426
8426482,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,,Кафе Веранда,"ул. Гагарина, 2в, Зеленоградск 238530 Россия",54.960407,20.470364
7776742,2020-12-15,Калининградская область,Советск,Рестораны,,,Кафе-пиццерия Чиполлоне,"ул. Победы, 40, Советск 238750 Россия",55.08176,21.900902
6129895,2020-12-15,Калининградская область,Калининград,Рестораны,,,Любимое,"Центральная пл., 1, Калининград 236019 Россия",54.725628,20.414534
8862756,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,Булочные,Konigsbacker,"ул. Тургенева, 1 Б, Зеленоградск 238530 Россия",54.958637,20.474037
8345048,2020-12-15,Калининградская область,Калининград,Рестораны,,,Браво Италия,"Правая Набережная, 9, Калининград 236010 Россия",54.706104,20.471922
21119772,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,,Телеграф,"Курортный проспект, 29, Зеленоградск 238326 Россия",54.95983,20.475489
7695198,2020-12-15,Калининградская область,Калининград,Рестораны,,Кафе,Сиеста,"ул. Ю. Гагарина, 2А, Калининград Россия",54.71402,20.53741
12636530,2020-12-15,Калининградская область,Калининград,Рестораны,,Кафе,Ресторан Чеснок,"ул. Горького, 162, Калининград 236001 Россия",54.744896,20.501896
2326370,2020-12-15,Калининградская область,Калининград,Рестораны,,Паб,Верфь,"Октябрьская, 4, Речной вокзал, Рыбная деревня Rechnoj vokzal, Rybnaja derevnja, Калининград 236006 Россия",54.704807,20.514462
