с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
7279247,2020-12-14,Тульская область,Тула,Рестораны,,Бар,Томато,"пр. Ленина, 120/1, Тула Россия",54.153576,37.583412
20899630,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Веранда,"Березовая, д. 7в, Новомосковск 301664 Россия",54.010902,38.296307
7679573,2020-12-14,Тульская область,Венев,Рестораны,,,Кафе-бистро,"ул. Л.Толстого, 2, Венев 301320 Россия",54.3507,38.26353
6195146,2020-12-14,Тульская область,Тула,Рестораны,,,Примавера,"Металлургов, 62а, Тула 300027 Россия",54.17965,37.7084
6744352,2020-12-14,Тульская область,Тула,Рестораны,,"Бар,Паб",Ирландец,"Вильямса, 14, Тула 300053 Россия",54.2041,37.68098
9593569,2020-12-14,Тульская область,Тула,Рестораны,,Булочные,Boulangerie Paris,"Prospekt Lenina 17 Paradise, Тула 300041 Россия",54.19127,37.61626
6195199,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Фламинго,"Ложевая, 130в, Тула 300040 Россия",54.20399,37.63592
8346017,2020-12-14,Тульская область,Тула,Рестораны,,,Дионис,"Демонстрации, 27 корп. 1, Тула 300034 Россия",54.19355,37.61089
8347939,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Макдоналдс,"Октябрьская, 40, Тула 300002 Россия",54.20415,37.61613
13202546,2020-12-14,Тульская область,Тула,Рестораны,,,Аригато,"ул. 9 мая, 3, Тула 300028 Россия",54.16561,37.583
6195148,2020-12-14,Тульская область,Тула,Рестораны,,,Прокофий,"Путейская, 5, Тула 300041 Россия",54.19946,37.57887
6401121,2020-12-14,Тульская область,Тула,Рестораны,,,Hardy Bar,"просп. Ленина, 83б, Тула Россия",54.17711,37.60097
6194988,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Сыр и Помидор,"Комсомольская, 1, Новомосковск 301662 Россия",54.01047,38.2751
6195032,2020-12-14,Тульская область,Тула,Рестораны,,,Mak Смак,"Путейская, 5, Тула 300041 Россия",54.19946,37.57887
6195020,2020-12-14,Тульская область,Тула,Рестораны,,,Burger cafe,"Красноармейский проспект, 48 к4, Тула 300041 Россия",54.196316,37.610767
6195055,2020-12-14,Тульская область,Тула,Рестораны,,,Айсберг,"Калинина, 16, Тула 300040 Россия",54.13493,37.58779
6194994,2020-12-14,Тульская область,Щекинский район,Рестораны,,,Район,"Пирогова, 50/1, Щекино 301246 Россия",54.01846,37.49217
8114364,2020-12-14,Тульская область,Тула,Рестораны,,,Пиццерия Белла Ричи,"Красноармейский проспект, 7Б, Тула 300041 Россия",54.19677,37.61094
12435467,2020-12-14,Тульская область,Тула,Рестораны,,,Блин Лайн,"ул. Октябрьская, 188A, Тула 300022 Россия",54.23023,37.62662
6195071,2020-12-14,Тульская область,Тула,Рестораны,,,В гостях у дяди Васи,"Пирогова, 8, Тула 300041 Россия",54.19,37.62138
6195080,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Восток,"Ложевая, 140а, Тула 300040 Россия",54.20399,37.63592
6195128,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Ника плюс,"Ложевая, 136, Тула 300040 Россия",54.20399,37.63592
14032819,2020-12-14,Тульская область,Тула,Рестораны,,,Кофейня Куба,"улица Фридриха Энгельса, дом 70, Тула 300012 Россия",54.174885,37.59265
4764352,2020-12-14,Тульская область,Тула,Рестораны,,,Час Пик,"Красноармейский проспект, д. 1, Тула 300041 Россия",54.19677,37.61094
6744967,2020-12-14,Тульская область,Щекинский район,Рестораны,,"Бар,Паб",Спорт-бар на Советская,"Советская, 27, Щекино 301248 Россия",54.01075,37.51329
6195130,2020-12-14,Тульская область,Тула,Рестораны,,,На Посольской,"Советская, 4в, Тула 300041 Россия",54.20025,37.61215
6194992,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Элит,"Шахтёров, 21, Новомосковск 301650 Россия",54.007175,38.28559
6195108,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Лаззат,"Ленина проспект, 127а, Тула 300026 Россия",54.13563,37.58205
17725206,2020-12-14,Тульская область,Новомосковск,Рестораны,,Бар,ТОМАТО,"Гвардейская, 60, Новомосковск 301664 Россия",54.00785,38.27255
7295159,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Минутка,"ул. Кутузова, д. 15, Тула 300004 Россия",54.21292,37.66495
7295152,2020-12-14,Тульская область,Тула,Рестораны,,,555,"ул. Октябрьская, д. 1г, Тула 300002 Россия",54.20415,37.61613
6195197,2020-12-14,Тульская область,Тула,Рестораны,,,Чебуреки,"Ленина проспект, 62, Тула 300012 Россия",54.18402,37.60701
6195116,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Марина,"Токарева, 78, Тула 300020 Россия",54.22375,37.63836
6195062,2020-12-14,Тульская область,Щекинский район,Рестораны,,"Бар,Кафе",Томато,"Юбилейная, 19, Щекино 301246 Россия",54.01984,37.49235
6194968,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Диво,"Орджоникидзе, 5в, Новомосковск 301668 Россия",54.032,38.25942
17409258,2020-12-14,Тульская область,Тула,Рестораны,,,Самая Вкусная Шаурма,"Коминтерна,  1, Тула 300041 Россия",54.19983,37.6101
6195164,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Спотыкач,"Макаренко, 6, Тула 300028 Россия",54.17156,37.574
20162239,2020-12-14,Тульская область,Щекинский район,Рестораны,,,Ресторан Грумант,"201 км трассы Москва-Симферополь, Грумант 301212 Россия",54.072887,37.47155
6195445,2020-12-14,Тульская область,Щекинский район,Рестораны,,,Прешпект,"Ясная Поляна д, 1а, Ясная Поляна 301214 Россия",54.072968,37.530212
6195215,2020-12-14,Тульская область,Узловая,Рестораны,,,Вдали от жен,"Тульская, 5/1, Узловая 301605 Россия",53.999996,38.12381
6195090,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Дружба,"Болдина, 50, Тула 300013 Россия",54.1811,37.57171
6195173,2020-12-14,Тульская область,Тула,Рестораны,,,Ташир,"Ленина проспект, 17, Тула 300041 Россия",54.19352,37.616
6195107,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Кебаб-тун,"Пролетарская, 22а, Тула 300001 Россия",54.19425,37.63479
6195157,2020-12-14,Тульская область,Тула,Рестораны,,,Сим-Сим,"Кутузова, 181, Тула 300016 Россия",54.21292,37.66495
18977251,2020-12-14,Тульская область,Тула,Рестораны,,,Palermo,"Проспект Ленина, 57, Тула 300903 Россия",54.183918,37.60774
6195198,2020-12-14,Тульская область,Тула,Рестораны,,,У фонтана,"Макса Смирнова пер, 1, Тула 300045 Россия",54.18449,37.62166
6195063,2020-12-14,Тульская область,Тула,Рестораны,,,Бизнес-клуб,"Красноармейский проспект, 7, Тула 300041 Россия",54.196316,37.610767
6195065,2020-12-14,Тульская область,Тула,Рестораны,,,Бомонд,"Ползунова, 9Б, Тула 300028 Россия",54.16335,37.57559
14076409,2020-12-14,Тульская область,Тула,Рестораны,,,Lancelot,"ул. М. Горького, д. 27, Тула 300903 Россия",54.12453,37.54817
6195336,2020-12-14,Тульская область,Тула,Рестораны,,,Вилладжио,"Демонстрации, 5а, Тула 300034 Россия",54.19355,37.61089
19240654,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Хинкальная №1,"Первомайская, 77Д, Новомосковск 301664 Россия",53.99764,38.28969
18996467,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Rotonda,"Комссомольская, 36/14, Новомосковск 301650 Россия",54.010784,38.292854
17528897,2020-12-14,Тульская область,Тула,Рестораны,,Бар,Бар Пуля,"Металлистов, 16, Тула 300041 Россия",54.198574,37.61633
8350181,2020-12-14,Тульская область,Тула,Рестораны,,,"Столовая на ул. Мориса Тореза, 5 Корп. 3","Мориса Тореза, 5 корп. 3, Тула 300012 Россия",54.18252,37.60805
18894171,2020-12-14,Тульская область,Щекинский район,Рестораны,,,Синяя Птица,"Ленина, 33а, Щекино 301240 Россия",54.00133,37.51906
15672421,2020-12-14,Тульская область,Тула,Рестораны,,,Зефир,"Проспект Ленина, 30, Тула 300041 Россия",54.19352,37.616
17848536,2020-12-14,Тульская область,Ленинский,Рестораны,,,Райский Сад,"Центральная ул., 182А, Ленинский 301130 Россия",54.29656,37.460236
14168816,2020-12-14,Тульская область,Тула,Рестораны,,,Оригами СУШИ,"Михеева, 23, Тула 300012 Россия",54.18306,37.605038
8349416,2020-12-14,Тульская область,Тула,Рестораны,,,Самарканд,"Тургеневская, 31а/2, Тула 300041 Россия",54.19186,37.62133
13071662,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,KFC,"ул. Советская, д. 47 ТРЦ Гостиный двор, Тула Россия",54.19209,37.61935
8345822,2020-12-14,Тульская область,Тула,Рестораны,,,Кофе Камп,"Ленина проспект, 123, Тула 300026 Россия",54.13563,37.58205
8262544,2020-12-14,Тульская область,Узловая,Рестораны,,Бар,Томато,"ул. Октябрьская, 6, Узловая 301600 Россия",53.974895,38.16384
6195097,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Какаду,"Фрунзе, 13, Тула 300041 Россия",54.20021,37.59034
6195045,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Town tost,"Фридриха Энгельса, 19Б, Тула 300041 Россия",54.19403,37.61429
14068269,2020-12-14,Тульская область,Тула,Рестораны,,,Престо,"ул.  Пролетарская, д. 2 ТРЦ ""Макси"", 1 этаж, Тула 300001 Россия",54.192856,37.63982
6195021,2020-12-14,Тульская область,Тула,Рестораны,,,Comedy Cafe,"Пролетарская, 22а, Тула 300001 Россия",54.19425,37.63479
6195214,2020-12-14,Тульская область,Узловая,Рестораны,,,Абсолют,"Горняцкая, 8, Узловая 301608 Россия",53.98411,38.15198
15575024,2020-12-14,Тульская область,Тула,Рестораны,,,Традиция,"Советская, 11, Тула 300041 Россия",54.198517,37.612076
6195094,2020-12-14,Тульская область,Тула,Рестораны,,,Зодиак,"Менделеевская, 1, Тула 300041 Россия",54.19115,37.62393
6195039,2020-12-14,Тульская область,Тула,Рестораны,,,Primavera,"Советская, 47, Тула 300041 Россия",54.20025,37.61215
8822983,2020-12-14,Тульская область,Алексин,Рестораны,,,Бархат,"Улица 50 Лет Октября, 4, Алексин 301369 Россия",54.523216,37.080967
6195418,2020-12-14,Тульская область,Тула,Рестораны,,,Криволучье,"Металлургов, 55а, Тула 300027 Россия",54.17965,37.7084
13912761,2020-12-14,Тульская область,Тула,Рестораны,,,Додо Пицца,"ул. Советская,  56А, Тула 300026 Россия",54.20025,37.61215
6195095,2020-12-14,Тульская область,Тула,Рестораны,,,Ca'tania,"Кирова, 23в, Тула 300001 Россия",54.13717,37.58772
9865607,2020-12-14,Тульская область,Белёв,Рестораны,,,Кафе Старый Город,"ул. Рабочая, 96, Белёв 301531 Россия",53.81838,36.14707
19980986,2020-12-14,Тульская область,Тула,Рестораны,,,ПиццаФабрика,"ул. Советская, 54, Тула 300041 Россия",54.19261,37.61381
17348293,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Пышка,"проспект Ленина, дом 16, Тула 300041 Россия",54.19352,37.616
6195068,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Березовая роща,"Щегловская засека, 53а, Тула 300004 Россия",54.21824,37.68018
13432642,2020-12-14,Тульская область,Тула,Рестораны,,Бар,Томато,"ул. Пузакова, д. 3А, Тула 300057 Россия",54.218693,37.621655
6194991,2020-12-14,Тульская область,Новомосковск,Рестораны,,Кафе,Черный рыцарь,"Кирова, 5, Новомосковск 301650 Россия",54.01288,38.30122
6195224,2020-12-14,Тульская область,Тула,Рестораны,,,Японо-мама,"Красноармейский проспект, дом 1, Тула 300041 Россия",54.19677,37.61094
