с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
10524197,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Вкуснолюбов,"ул. Советская, 4а, Сочи 354000 Россия",43.58249,39.71924
8479775,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Столовая в Виноградном переулке,"Виноградный переулок, д. 2а/1, Сочи 354068 Россия",43.63064,39.71697
8349220,2020-12-15,Краснодарский край,Тонкий мыс,Рестораны,,,Ретро,"Десантная, 1, Тонкий мыс Россия",44.575165,38.02376
10524262,2020-12-15,Краснодарский край,Анапа,Рестораны,,,Колхида,"Новороссийская, 262, Анапа 353440 Россия",44.88639,37.30546
2327812,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Алиби,"Тургенева ул., 174, Краснодар 350078 Россия",45.0706,38.97029
11816841,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Карефана,"ул. Приморская, 6/4, Сочи 354000 Россия",43.575005,39.724953
8432111,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Табаско,"ул. Федора Лузана, 23, Краснодар 350051 Россия",45.06873,38.97558
6002887,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,РИСочи,"Макаренко, 13/2а, Сочи 354003 Россия",43.61026,39.73765
3776783,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Гунэс,"ул. Северная, д. 399ф, Краснодар 350909 Россия",45.03762,38.99479
11998055,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Кулибин,"Новая заря 7 ТЦ Моремолл, Сочи 354200 Россия",43.606903,39.73278
6697031,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Замок,"Ростовское Шоссе, 25/4, Краснодар 350072 Россия",45.02171,38.9543
6024732,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Китано-Челентано,"Уральская, 104а, Краснодар 350059 Россия",45.03037,39.02867
6743874,2020-12-15,Краснодарский край,Новороссийск,Рестораны,,"Бар,Паб",Бочка,"Толстого, 2, Новороссийск 353900 Россия",44.71122,37.78076
8346658,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Гудзон,"Ставропольская, 212, Краснодар 350001 Россия",45.0126,38.97962
10392879,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,"Ресторан ""Лайнер""","улица Кишиневская, 8А, Сочи 354393 Россия",43.4506,39.94259
13313817,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Shanti,"ул. Уральская, 79/1, Краснодар 350059 Россия",45.03037,39.02867
6003026,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Bon Appetit,"Воровского, 19, Сочи 354000 Россия",43.58525,39.7194
6025039,2020-12-15,Краснодарский край,Анапа,Рестораны,,,У камина,"Самбурова, 39, Анапа 353440 Россия",44.88489,37.30643
8349731,2020-12-15,Краснодарский край,Геленджикский район,Рестораны,,,Шокоlife,"Островского, 23, Геленджик 353460 Россия",44.56145,38.07851
2327878,2020-12-15,Краснодарский край,Анапа,Рестораны,,,Империя,"ул. Крымская, д.272, Анапа 353440 Россия",45.1181,37.42888
6854955,2020-12-15,Краснодарский край,Краснодар,Рестораны,,Фастфуд,WESTERN saloon&pub,"улица Московская , дом 28, Краснодар 350072 Россия",45.05105,39.00308
10518228,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Приморская,"Приморская 11, Сочи 354000 Россия",43.574455,39.725212
